珠光宝气	zhu guang bao qi
前程万里	qian cheng wan li
弃恶从善	qi e cong shan
牛毛细雨	niu mao xi yu
身无分文	shen wu fen wen
作奸犯科	zuo jian fan ke
懵头转向	meng tou zhuan xiang
大智如愚	da zhi ru yu
动之以情	dong zhi yi qing
有备无患	you bei wu huan
一了百了	yi liao bai liao
臭名远扬	chou ming yuan yang
孤掌难鸣	gu zhang nan ming
瓮中捉鳖	weng zhong zhuo bie
杞人忧天	qi ren you tian
披荆斩棘	pi jing zhan ji
奋勇争先	fen yong zheng xian
焦躁不安	jiao zao bu an
不平则鸣	bu ping ze ming
远近闻名	yuan jin wen ming
温文尔雅	wen wen er ya
欢欣若狂	huan xin ruo kuang
手足无措	shou zu wu cuo
不亢不卑	bu kang bu bei
是非分明	shi fei fen ming
棋逢敌手	qi feng di shou
混淆黑白	hun xiao hei bai
名实相符	ming shi xiang fu
先苦后甜	xian ku hou tian
一曝十寒	yi pu shi han
声情并茂	sheng qing bing mao
当仁不让	dang ren bu rang
赏罚不明	shang fa bu ming
两小无猜	liang xiao wu cai
一望而知	yi wang er zhi
胡搅蛮缠	hu jiao man chan
应接不暇	ying jie bu xia
含血喷人	han xue pen ren
贪小失大	tan xiao shi da
嚎啕大哭	hao tao da ku
当家做主	dang jia zuo zhu
公诸于世	gong zhu yu shi
满目疮痍	man mu chuang yi
义无反顾	yi wu fan gu
横加指责	heng jia zhi ze
出言不逊	chu yan bu xun
甘拜下风	gan bai xia feng
大智如愚	da zhi ru yu
昏天黑地	hun tian hei di
心急火燎	xin ji huo liao
不成方圆	bu cheng fang yuan
艺高胆大	yi gao dan da
手到拈来	shou dao nian lai
杯弓蛇影	bei gong she ying
刻骨铭心	ke gu ming xin
昼思夜想	zhou si ye xiang
琅琅上口	lang lang shang kou
号啕大哭	hao tao da ku
命在旦夕	ming zai dan xi
送旧迎新	song jiu ying xin
自欺欺人	zi qi qi ren
直抒胸臆	zhi shu xiong yi
无功而返	wu gong er fan
众目睽睽	zhong mu kui kui
见怪不怪	jian guai bu guai
洗耳恭听	xi er gong ting
势不可挡	shi bu ke dang
美不胜收	mei bu sheng shou
步履维艰	bu lu wei jian
后患无穷	hou huan wu qiong
苦尽甜来	ku jin tian lai
短小精悍	duan xiao jing han
造化弄人	zao hua nong ren
两面三刀	liang mian san dao
不辞辛劳	bu ci xin lao
屡战屡败	lu zhan lu bai
破镜重圆	po jing chong yuan
祸福相依	huo fu xiang yi
银装素裹	yin zhuanɡ su ɡuo
化为灰烬	hua wei hui jin
人各有志	ren ge you zhi
心地善良	xin di shan liang
品学兼优	pin xue jian you
略知一二	lue zhi yi er
四面八方	si mian ba fang
邪不胜正	xie bu sheng zheng
疑惑不解	yi huo bu jie
反客为主	fan ke wei zhu
有机可乘	you ji ke cheng
先发制人	xian fa zhi ren
凶相毕露	xiong xiang bi lu
从容应对	cong rong ying dui
温故知新	wen gu zhi xin
视为儿戏	shi wei er xi
兴旺发达	xing wang fa da
日复一日	ri fu yi ri
有名无实	you ming wu shi
反唇相讥	fan chun xiang ji
层出不穷	ceng chu bu qiong
汗马功劳	han ma gong lao
货真价实	huo zhen jia shi
火上浇油	huo shang jiao you
有心无力	you xin wu li
瓜田李下	gua tian li xia
自身难保	zi shen nan bao
五颜六色	wu yan liu se
承上启下	cheng shang qi xia
无所畏惧	wu suo wei ju
故步自封	gu bu zi feng
绝处逢生	jue chu feng sheng
上行下效	shang xing xia xiao
勃然变色	bo ran bian se
大有起色	da you qi se
眉飞色舞	mei fei se wu
积沙成塔	ji sha cheng ta
众叛亲离	zhong pan qin li
另眼看待	ling yan kan dai
碌碌无为	lu lu wu wei
包罗万象	bao luo wan xiang
吐故纳新	tu gu na xin
兵荒马乱	bing huang ma luan
身先士卒	shen xian shi zu
独具慧眼	du ju hui yan
神来之笔	shen lai zhi bi
铜墙铁壁	tong qiang tie bi
一板一眼	yi ban yin yan
狼狈逃窜	lang bei tao cuan
哭笑不得	ku xiao bu de
无所事事	wu suo shi shi
魂不附体	hun bu fu ti
乐不可支	le bu ke zhi
大显神通	da xian shen tong
以逸待劳	yi yi dai lao
洗心革面	xi xin ge mian
筋疲力尽	jing pi li jin
披沙拣金	pi sha jian jin
一言一行	yi yan yi xing
文人相轻	wen ren xiang qing
无事生非	wu shi sheng fei
从容自如	cong rong zi ru
