不苟言笑	bu gou yan xiao
不落人后	bu luo ren hou
不落俗套	bu luo su tao
不落窠臼	bu luo ke jiu
不虚此行	bu xu ci xing
不见天日	bu jian tian ri
不见经传	bu jian jing zhuan
不解之缘	bu jie zhi yuan
不解之谜	bu jie zhi mi
不言不语	bu yan bu yu
不言而喻	bu yan er yu
不计其数	bu ji qi shu
不识大体	bu shi da ti
不识好歹	bu shi hao dai
不识抬举	bu shi tai ju
不识时务	bu shi shi wu
不识泰山	bu shi tai shan
不请自来	bu qing zi lai
不谋而合	bu mou er he
不谋而同	bu mou er tong
不负众望	bu fu zhong wang
不败之地	bu bai zhi di
不足为凭	bu zu wei ping
不足为奇	bu zu wei qi
不足为怪	bu zu wei guai
不足为据	bu zu wei ju
不足为虑	bu zu wei lu
不足为训	bu zu wei xun
不足之处	bu zu zhi chu
不足挂齿	bu zu gua chi
不辞劳苦	bu ci lao ku
不辞而别	bu ci er bie
不辞辛劳	bu ci xin lao
不辞辛苦	bu ci xin ku
不辨真伪	bu bian zhen wei
不辱使命	bu ru shi ming
不近人情	bu jin ren qing
不进则退	bu jin ze tui
不远万里	bu yuan wan li
不远千里	bu yuan qian li
不速之客	bu su zhi ke
不遗余力	bu yi yu li
不闻不问	bu wen bu wen
不露声色	bu lu sheng se
不露锋芒	bu lu feng mang
不顾一切	bu gu yi qie
不顾大局	bu gu da ju
不顾死活	bu gu si huo
不骄不躁	bu jiao bu zao
与世无争	yu shi wu zheng
与世长存	yu shi chang cun
与世长辞	yu shi chang ci
与世隔绝	yu shi ge jue
与人为善	yu ren wei shan
与人方便	yu ren fang bian
与众不同	yu zhong bu tong
与日俱增	yu ri ju zeng
与日俱进	yu ri ju jin
与时俱进	yu shi ju jin
与民同乐	yu min tong le
与虎添翼	yu hu tian yi
与虎谋皮	yu hu mou pi
丑态毕露	chou tai bi lu
丑态百出	chou tai bai chu
专心一意	zhuan xin yi yi
专心一致	zhuan xin yi zhi
专心致志	zhuan xin zhi zhi
专横跋扈	zhuan heng ba hu
专款专用	zhuan kuan zhuan yong
且战且退	qie zhan qie tui
世世代代	shi shi dai dai
世事炎凉	shi shi yan liang
世人皆知	shi ren jie zhi
世代相传	shi dai xiang chuan
世外桃源	shi wai tao yuan
世态炎凉	shi tai yan liang
世界大同	shi jie da tong
世风日下	shi feng ri xia
业精于勤	ye jing yu qin
丛山峻岭	cong shan jun ling
东倒西歪	dong dao xi wai
东奔西撞	dong ben xi zhuang
东奔西走	dong ben xi zou
东奔西跑	dong ben xi pao
东奔西逃	dong ben xi tao
东山再起	dong shan zai qi
东张西望	dong zhang xi wang
东征西讨	dong zheng xi tao
东拉西扯	dong la xi che
东拼西凑	dong pin xi cou
东挪西借	dong nuo xi jie
东挪西凑	dong nuo xi cou
东摇西摆	dong yao xi bai
东施效颦	dong shi xiao pin
东游西荡	dong you xi dang
东游西逛	dong you xi kuang
东碰西撞	dong peng xi zhuang
东窗事发	dong chuang shi fa
东藏西躲	dong cang xi duo
东补西凑	dong bu xi cou
东西南北	dong xi nan bei
东跑西奔	dong pao xi ben
东跑西颠	dong pao xi dian
东躲西藏	dong duo xi cang
东躲西跑	dong duo xi pao
东躲西逃	dong duo xi tao
东逃西窜	dong tao xi can
东郭先生	dong guo xian sheng
丝丝入扣	si si ru kou
丝毫不差	si hao bu cha
丢三拉四	diu san la si
丢三落四	diu san la si
丢人现眼	diu ren xian yan
丢卒保车	diu zu bao ju
丢盔卸甲	diu kui xie jia
丢盔弃甲	diu kui qi jia
丢车保帅	diu ju bao shuai
两全其美	liang quan qi mei
两厢情愿	liang xiang qing yuan
两小无猜	liang xiao wu cai
两手空空	liang shou kong kong
两极分化	liang ji fen hua
两相情愿	liang xiang qing yuan
两肋插刀	liang lei cha dao
两虎相争	liang hu xiang zheng
两虎相斗	liang hu xiang dou
两袖清风	liang xiu qing feng
两败俱伤	liang bai ju shang
两面三刀	liang mian san dao
两面讨好	liang mian tao hao
两鬓斑白	liang bin ban bai
严丝合缝	yan si he feng
严严实实	yan yan shi shi
严于律己	yan yu lu ji
严刑峻法	yan xing jun fa
严惩不贷	yan cheng bu dai
严父慈母	yan fu ci mu
严词拒绝	yan ci ju jue
严阵以待	yan zhen yi dai
丧家之犬	sang jia zhi quan
丧尽天良	sang jin tian liang
丧心病狂	sang xin bing kuang
丧权辱国	sang quan ru guo
丧魂落魄	sang hun luo po
个中滋味	ge zhong zi wei
个人主义	ge ren zhu yi
个人崇拜	ge ren chong bai
中庸之道	zhong yong zhi dao
中流砥柱	zhong liu di zhu
中西合璧	zhong xi he bi
中途而废	zhong tu er fei
中饱私囊	zhong bao si nang
丰功伟业	feng gong wei ye
丰功伟绩	feng gong wei ji
丰姿绰约	feng zi chuo yue
丰富多彩	feng fu duo cai
丰富多采	feng fu duo cai
丰衣足食	feng yi zu shi
串通一气	chuan tong yi qi
临别赠言	lin bie zeng yan
临危不乱	lin wei bu luan
临危不惧	lin wei bu ju
临危受命	lin wei shou ming
临时磨枪	lin shi mo qiang
临机应变	lin ji ying bian
临机立断	lin ji li duan
临渴掘井	lin ke jue jing
临阵磨刀	lin zhen mo dao
临阵磨枪	lin zhen mo qiang
临阵脱逃	lin zhen tuo tao
为之一振	wei zhi yi zhen
为人作嫁	wei ren zuo jia
为人师表	wei ren shi biao
为国为民	wei guo wei min
为国捐躯	wei guo juan qu
为富不仁	wei fu bu ren
为所欲为	wei suo yu wei
为时尚早	wei shi shang zao
为时过早	wei shi guo zao
为期不远	wei qi bu yuan
为民请命	wei min qing ming
为民除害	wei min chu hai
为虎作伥	wei hu zuo chang
为虎添翼	wei hu tian yi
为非作歹	wei fei zuo dai
主客颠倒	zhu ke dian dao
主次不分	zhu ci bu fen
举一反三	ju yi fan san
举不胜举	ju bu sheng ju
举世无双	ju shi wu shuang
举世无敌	ju shi wu di
举世皆知	ju shi jie zhi
举世瞩目	ju shi zhu mu
举世闻名	ju shi wen ming
举国一致	ju guo yi zhi
举国上下	ju guo shang xia
举手之劳	ju shou zhi lao
举手投足	ju shou tou zu
举棋不定	ju qi bu ding
举止大方	ju zhi da fang
举目无亲	ju mu wu qin
举足轻重	ju zu qing zhong
举重若轻	ju zhong ruo qing
久别重逢	jiu bie chong feng
久病成医	jiu bing cheng yi
久经考验	jiu jing kao yan
久经风霜	jiu jing feng shuang
久而久之	jiu er jiu zhi
久负盛名	jiu fu sheng ming
久闻大名	jiu wen da ming
义不容辞	yi bu rong ci
义愤填膺	yi fen tian ying
义无反顾	yi wu fan gu
义正词严	yi zheng ci yan
义正辞严	yi zheng ci yan
义气相投	yi qi xiang tou
义结金兰	yi jie jin lan
义薄云天	yi bo yun tian
乌七八糟	wu qi ba zao
乌合之众	wu he zhi zhong
乌烟瘴气	wu yan zhang qi
乍暖还寒	zha nuan hai han
乐不可支	le bu ke zhi
乐不思蜀	le bu si shu
乐于助人	le yu zhu ren
乐善好施	le shan hao shi
乐在其中	le zai qi zhong
乐极生悲	le ji sheng bei
乐此不倦	le ci bu juan
乐此不疲	le ci bu pi
乐而忘返	le er wang fan
乔装打扮	qiao zhuang da ban
乔迁之喜	qiao qian zhi xi
乘人之危	cheng ren zhi wei
乘兴而来	cheng xing er lai
乘其不备	cheng qi bu bei
乘机打劫	cheng ji da jie
乘胜追击	cheng sheng zhui ji
乘虚而入	cheng xu er ru
乘风破浪	cheng feng po lang
九九归一	jiu jiu gui yi
九死一生	jiu si yi sheng
九泉之下	jiu quan zhi xia
九牛一毛	jiu niu yi mao
九霄云外	jiu xiao yun wai
习以为常	xi yi wei chang
书声朗朗	shu sheng lang lang
书声琅琅	shu sheng lang lang
书香世家	shu xiang shi jia
书香门第	shu xiang men di
买椟还珠	mai du huan zhu
买空卖空	mai kong mai kong
乱七八糟	luan qi ba zao
乱作一团	luan zuo yi tuan
乱扣帽子	luan kou mao zi
乱点鸳鸯	luan dian yuan yang
乱臣贼子	luan chen zei zi
乳臭未干	ru xiu wei gan
了如指掌	liao ru zhi zhang
了然于心	liao ran yu xin
了然于胸	liao ran yu xiong
了若指掌	liao ruo zhi zhang
争先恐后	zheng xian kong hou
争分夺秒	zheng fen duo miao
争前恐后	zheng qian kong hou
争名夺利	zheng ming duo li
争名逐利	zheng ming zhu li
争奇斗艳	zheng qi dou yan
争妍斗艳	zheng yan dou yan
争强好胜	zheng qiang hao sheng
争权夺利	zheng quan duo li
争风吃醋	zheng feng chi cu
事不关己	shi bu guan ji
事不宜迟	shi bu yi chi
事不过三	shi bu guo san
事与愿违	shi yu yuan wei
事倍功半	shi bei gong ban
事关重大	shi guan zhong da
事出有因	shi chu you yin
事到临头	shi dao lin tou
事半功倍	shi ban gong bei
事在人为	shi zai ren wei
事必躬亲	shi bi gong qin
事无巨细	shi wu ju xi
事过境迁	shi guo jing qian
二话不说	er hua bu shuo
二话没说	er hua mei shuo
于事无补	yu shi wu bu
于心不忍	yu xin bu ren
于心何忍	yu xin he ren
于心无愧	yu jin wu kui
于心有愧	yu xin you kui
云开日出	yun kai ri chu
云开见日	yun kai jian ri
云开雾散	yun kai kai san
云泥之别	yun ni zhi bie
云消雾散	yun xiao wu san
云淡风轻	yun dan feng qing
云游四海	yun you si hai
云蒸霞蔚	yun zheng xia wei
互为因果	hu wei yin guo
互为表里	hu wei biao li
互相推诿	hu xiang tui wei
互相残杀	hu xiang can sha
互通有无	hu tong you wu
五体投地	wu ti tou di
五光十色	wu guang shi se
五内俱焚	wu nei ju fen
五内如焚	wu nei ru fen
五味俱全	wu wei ju quan
五大三粗	wu da san cu
五彩斑斓	wu cai ban lan
五彩缤纷	wu cai bin fen
五毒俱全	wu du ju quan
五洲四海	wu zhou si hai
五湖四海	wu hu si hai
五短身材	wu duan shen cai
五脏六腑	wu zang liu fu
五花八门	wu hua ba men
五花大绑	wu hua da bang
五讲四美	wu jiang si mei
五谷不分	wu gu bu fen
五谷丰登	wu gu feng deng
五雷轰顶	wu lei hong ding
五颜六色	wu yan liu se
井井有序	jing jing you xu
井井有条	jing jing you tiao
井底之蛙	jing di zhi wa
井底捞月	jing di lao yue
井然有序	jing ran you xu
井然有条	jing ran you tiao
井蛙之见	jing wa zhi jian
亡命之徒	wang ming zhi tu
亡羊补牢	wang yang bu lao
交口称赞	jiao kou cheng zan
交头接耳	jiao tou jie er
交浅言深	jiao qian yan shen
交相辉映	jiao xiang hui ying
亦步亦趋	yi bu yi qu
亭亭玉立	ting ting yu li
亭台楼阁	ting tai lou ge
亲力亲为	qin li qin wei
亲如一家	qin ru yi jia
亲如兄弟	qin ru xiong di
亲如手足	qin ru shou zu
亲密无间	qin mi wu jian
亲戚朋友	qin qi peng you
亲痛仇快	qin tong chou kuai
人丁兴旺	ren ding xing wang
人之常情	ren zhi chang qing
人云亦云	ren yun yi yun
人人皆知	ren ren jie zhi
人人自危	ren ren zi wei
人以群分	ren yi qun fen
人仰马翻	ren yang ma fan
人去楼空	ren qu lou kong
人各有志	ren ge you zhi
人命关天	ren ming guan tian
人困马乏	ren kun ma fa
人声鼎沸	ren sheng ding fei
人多势众	ren duo shi zhong
人多嘴杂	ren duo zui za
人多手杂	ren duo shou za
人定胜天	ren ding sheng tian
人小鬼大	ren xiao gui da
人尽其才	ren jin qi cai
人山人海	ren shan ren hai
人微言轻	ren wei yan qing
人心叵测	ren xin po ce
人心向背	ren xin xiang bei
人心惶惶	ren xin huang huang
人心所向	ren xin suo xiang
人心涣散	ren xin huan san
人心难测	ren xin nan ce
人情世故	ren qing shi gu
人情冷暖	ren qing leng nuan
人所共知	ren suo gong zhi
人手一册	ren shou yi ce
人才济济	ren cai ji ji
人才辈出	ren cai bei chu
人才难得	ren cai cai de
人无完人	ren wu wan ren
人来人往	ren lai ren wang
人杰地灵	ren jie di ling
人模人样	ren mo ren yang
人模狗样	ren mu gou yang
人浮于事	ren fu yu shi
人海战术	ren hai zhan shu
人满为患	ren man wei huan
人烟稀少	ren yan xi shao
人烟稠密	ren yan chou mi
人生如梦	ren sheng ru meng
人神共愤	ren shen gong fen
人穷志短	ren qiong zhi duan
人老珠黄	ren lao zhu huang
人言可畏	ren yan ke wei
人财两空	ren cai liang kong
人赃俱获	ren zang ju huo
人赃并获	ren zang bing huo
人迹罕至	ren ji han zhi
人道主义	ren dao zhu yi
人间地狱	ren jian di yu
人间天堂	ren jian tian tang
人非草木	ren fei cao mu
人面兽心	ren mian shou xin
人面桃花	ren mian tao hua
仁义道德	ren yi dao de
仁人志士	ren ren zhi shi
仁至义尽	ren zhi yi jin
仅此而已	jin ci er yi
今不如昔	jin bu ru xi
今非昔比	jin fei xi bi
从一而终	cong yi er zhong
从中作梗	cong zhong zuo geng
从中斡旋	cong zhong wo xuan
从中渔利	cong zhong yu li
从何说起	cong he shuo qi
从善如流	cong shan ru liu
从天而降	cong tian er jiang
从头做起	cong tou zuo qi
从头到尾	cong tou dao wei
从头至尾	cong tou zhi wei
从容不迫	cong rong bu po
从容应对	cong rong ying dui
从容自如	cong rong zi ru
从容自若	cong rong zi ruo
从宽发落	cong kuan fa luo
从轻发落	cong qing fa luo
从长计议	cong chang ji yi
仓皇出逃	cang huang chu tao
仓皇失措	cang huang shi cuo
